topic;term_01;term_02;term_03;term_04;term_05;term_06;term_07;term_08;term_09;term_10;term_11;term_12;label
1;hotel;recommend;stayed;located;star;hotels;city;the;booked;barcelona;best;modern;Lage/Anbindung
2;resort;beach;food;pool;beautiful;people;vacation;water;day;time;cana;punta;Lage/Anbindung
3;great;location;rooms;staff;clean;value;price;really;friendly;stayed;time;place;Sauberkeit
4;good;walk;station;breakfast;location;clean;metro;train;value;city;minutes;bus;Sauberkeit
5;room;bed;floor;bathroom;view;night;small;shower;check;booked;large;the;Sauberkeit
6;not;did;like;bad;told;service;time;just;people;rooms;star;said;Personal/Service
7;excellent;service;location;restaurant;food;rooms;good;best;stayed;business;quality;staff;Personal/Service
8;nice;good;really;rooms;clean;little;pretty;small;pool;area;breakfast;bit;Sauberkeit
9;stay;staff;wonderful;helpful;friendly;perfect;lovely;paris;loved;florence;comfortable;clean;Sauberkeit
10;san;parking;car;juan;free;street;inn;place;francisco;seattle;stay;area;Sonstiges
